name	X1	Y1	X2	Y2	X3	Y3	X4	Y4
a1.jpg	3681	328	2391	2457	141	2020	1767	99
a2.jpg	459	117	227	271	22	154	288	61
a3.jpg	612	197	612	955	117	793	73	115
a4.jpg	3255	294	3255	3018	1461	2766	1467	462
a5.jpg	1390	507	3280	1671	2152	2721	232	1257
a6.jpg	207	173	361	291	184	356	54	210
a7.jpg	811	183	559	689	232	523	486	25
a8.jpg	275	13	503	165	271	320	67	78
a9.jpg	885	95	883	711	367	711	363	97
a10.jpg	625	79	627	419	351	479	349	127
a11.jpg	399	81	815	267	583	499	143	255
a12.jpg	411	75	589	339	185	465	65	165
a13.jpg	752	339	1469	816	845	1155	188	573
a14.jpg	863	435	1481	930	734	1239	191	648
a15.jpg	427	55	524	303	260	357	224	85
